
./src/release/share/notepad:     file format elf64-x86-64


Disassembly of section .init:

0000000000001000 <_init>:
    1000:	f3 0f 1e fa          	endbr64 
0000000000001e44 <readint>:
    1e44:	f3 0f 1e fa          	endbr64 
    1e48:	55                   	push   %rbp
    1e49:	48 89 e5             	mov    %rsp,%rbp
    1e4c:	48 83 ec 40          	sub    $0x40,%rsp
    1e50:	64 48 8b 04 25 28 00 	mov    %fs:0x28,%rax
    1e57:	00 00 
    1e59:	48 89 45 f8          	mov    %rax,-0x8(%rbp)
    1e5d:	31 c0                	xor    %eax,%eax
    1e5f:	c7 45 cc 00 00 00 00 	movl   $0x0,-0x34(%rbp)
    1e66:	eb 42                	jmp    1eaa <readint+0x66>
    1e68:	48 8d 55 d0          	lea    -0x30(%rbp),%rdx
    1e6c:	8b 45 cc             	mov    -0x34(%rbp),%eax
    1e6f:	48 98                	cltq   
    1e71:	48 01 d0             	add    %rdx,%rax
    1e74:	ba 01 00 00 00       	mov    $0x1,%edx
    1e79:	48 89 c6             	mov    %rax,%rsi
    1e7c:	bf 00 00 00 00       	mov    $0x0,%edi
    1e81:	e8 fa f3 ff ff       	call   1280 <read@plt>
    1e86:	48 83 f8 01          	cmp    $0x1,%rax
    1e8a:	75 26                	jne    1eb2 <readint+0x6e>
    1e8c:	8b 45 cc             	mov    -0x34(%rbp),%eax
    1e8f:	48 98                	cltq   
    1e91:	0f b6 44 05 d0       	movzbl -0x30(%rbp,%rax,1),%eax
    1e96:	3c 0a                	cmp    $0xa,%al
    1e98:	75 0c                	jne    1ea6 <readint+0x62>
    1e9a:	8b 45 cc             	mov    -0x34(%rbp),%eax
    1e9d:	48 98                	cltq   
    1e9f:	c6 44 05 d0 00       	movb   $0x0,-0x30(%rbp,%rax,1)
    1ea4:	eb 0d                	jmp    1eb3 <readint+0x6f>
    1ea6:	83 45 cc 01          	addl   $0x1,-0x34(%rbp)
    1eaa:	83 7d cc 1e          	cmpl   $0x1e,-0x34(%rbp)
    1eae:	7e b8                	jle    1e68 <readint+0x24>
    1eb0:	eb 01                	jmp    1eb3 <readint+0x6f>
    1eb2:	90                   	nop
    1eb3:	48 8d 45 d0          	lea    -0x30(%rbp),%rax
    1eb7:	48 89 c7             	mov    %rax,%rdi
    1eba:	e8 11 f4 ff ff       	call   12d0 <atol@plt>
    1ebf:	48 8b 55 f8          	mov    -0x8(%rbp),%rdx
    1ec3:	64 48 2b 14 25 28 00 	sub    %fs:0x28,%rdx
    1eca:	00 00 
    1ecc:	74 05                	je     1ed3 <readint+0x8f>
    1ece:	e8 3d f3 ff ff       	call   1210 <__stack_chk_fail@plt>
    1ed3:	c9                   	leave  
    1ed4:	c3                   	ret    

0000000000001ed5 <readlen>:
    1ed5:	f3 0f 1e fa          	endbr64 
    1ed9:	55                   	push   %rbp
    1eda:	48 89 e5             	mov    %rsp,%rbp
    1edd:	48 83 ec 20          	sub    $0x20,%rsp
    1ee1:	48 89 7d e8          	mov    %rdi,-0x18(%rbp)
    1ee5:	48 89 75 e0          	mov    %rsi,-0x20(%rbp)
    1ee9:	48 c7 45 f8 00 00 00 	movq   $0x0,-0x8(%rbp)
    1ef0:	00 
    1ef1:	eb 48                	jmp    1f3b <readlen+0x66>
    1ef3:	48 8b 55 e8          	mov    -0x18(%rbp),%rdx
    1ef7:	48 8b 45 f8          	mov    -0x8(%rbp),%rax
    1efb:	48 01 d0             	add    %rdx,%rax
    1efe:	ba 01 00 00 00       	mov    $0x1,%edx
    1f03:	48 89 c6             	mov    %rax,%rsi
    1f06:	bf 00 00 00 00       	mov    $0x0,%edi
    1f0b:	e8 70 f3 ff ff       	call   1280 <read@plt>
    1f10:	48 83 f8 01          	cmp    $0x1,%rax
    1f14:	75 31                	jne    1f47 <readlen+0x72>
    1f16:	48 8b 55 e8          	mov    -0x18(%rbp),%rdx
    1f1a:	48 8b 45 f8          	mov    -0x8(%rbp),%rax
    1f1e:	48 01 d0             	add    %rdx,%rax
    1f21:	0f b6 00             	movzbl (%rax),%eax
    1f24:	3c 0a                	cmp    $0xa,%al
    1f26:	75 0e                	jne    1f36 <readlen+0x61>
    1f28:	48 8b 55 e8          	mov    -0x18(%rbp),%rdx
    1f2c:	48 8b 45 f8          	mov    -0x8(%rbp),%rax
    1f30:	48 01 d0             	add    %rdx,%rax
    1f33:	c6 00 00             	movb   $0x0,(%rax)
    1f36:	48 83 45 f8 01       	addq   $0x1,-0x8(%rbp)
    1f3b:	48 8b 45 f8          	mov    -0x8(%rbp),%rax
    1f3f:	48 3b 45 e0          	cmp    -0x20(%rbp),%rax
    1f43:	72 ae                	jb     1ef3 <readlen+0x1e>
    1f45:	eb 01                	jmp    1f48 <readlen+0x73>
    1f47:	90                   	nop
    1f48:	48 8b 45 f8          	mov    -0x8(%rbp),%rax
    1f4c:	c9                   	leave  
    1f4d:	c3                   	ret    

0000000000001f4e <main>:
    1f4e:	f3 0f 1e fa          	endbr64 
    1f52:	55                   	push   %rbp
    1f53:	48 89 e5             	mov    %rsp,%rbp
    1f56:	48 81 ec 70 01 00 00 	sub    $0x170,%rsp
    1f5d:	64 48 8b 04 25 28 00 	mov    %fs:0x28,%rax
    1f64:	00 00 
    1f66:	48 89 45 f8          	mov    %rax,-0x8(%rbp)
    1f6a:	31 c0                	xor    %eax,%eax
    1f6c:	48 8b 05 ed 31 00 00 	mov    0x31ed(%rip),%rax        # 5160 <stdin@GLIBC_2.2.5>
    1f73:	b9 00 00 00 00       	mov    $0x0,%ecx
    1f78:	ba 02 00 00 00       	mov    $0x2,%edx
    1f7d:	be 00 00 00 00       	mov    $0x0,%esi
    1f82:	48 89 c7             	mov    %rax,%rdi
    1f85:	e8 36 f3 ff ff       	call   12c0 <setvbuf@plt>
    1f8a:	48 8b 05 bf 31 00 00 	mov    0x31bf(%rip),%rax        # 5150 <stdout@GLIBC_2.2.5>
    1f91:	b9 00 00 00 00       	mov    $0x0,%ecx
    1f96:	ba 02 00 00 00       	mov    $0x2,%edx
    1f9b:	be 00 00 00 00       	mov    $0x0,%esi
    1fa0:	48 89 c7             	mov    %rax,%rdi
    1fa3:	e8 18 f3 ff ff       	call   12c0 <setvbuf@plt>
    1fa8:	b8 00 00 00 00       	mov    $0x0,%eax
    1fad:	e8 77 f4 ff ff       	call   1429 <apply_seccomp>
    1fb2:	b8 00 00 00 00       	mov    $0x0,%eax
    1fb7:	e8 00 fe ff ff       	call   1dbc <menu>
    1fbc:	b8 00 00 00 00       	mov    $0x0,%eax
    1fc1:	e8 7e fe ff ff       	call   1e44 <readint>
    1fc6:	89 85 90 fe ff ff    	mov    %eax,-0x170(%rbp)
    1fcc:	b8 00 00 00 00       	mov    $0x0,%eax
    1fd1:	e8 01 f5 ff ff       	call   14d7 <connect_backend>
    1fd6:	89 85 94 fe ff ff    	mov    %eax,-0x16c(%rbp)
    1fdc:	83 bd 94 fe ff ff 00 	cmpl   $0x0,-0x16c(%rbp)
    1fe3:	7f 0f                	jg     1ff4 <main+0xa6>
    1fe5:	48 8d 05 aa 12 00 00 	lea    0x12aa(%rip),%rax        # 3296 <_IO_stdin_used+0x296>
    1fec:	48 89 c7             	mov    %rax,%rdi
    1fef:	e8 bd f4 ff ff       	call   14b1 <errorexit>
    1ff4:	83 bd 90 fe ff ff 05 	cmpl   $0x5,-0x170(%rbp)
    1ffb:	0f 87 4e 04 00 00    	ja     244f <main+0x501>
    2001:	8b 85 90 fe ff ff    	mov    -0x170(%rbp),%eax
    2007:	48 8d 14 85 00 00 00 	lea    0x0(,%rax,4),%rdx
    200e:	00 
    200f:	48 8d 05 ee 12 00 00 	lea    0x12ee(%rip),%rax        # 3304 <_IO_stdin_used+0x304>
    2016:	8b 04 02             	mov    (%rdx,%rax,1),%eax
    2019:	48 98                	cltq   
    201b:	48 8d 15 e2 12 00 00 	lea    0x12e2(%rip),%rdx        # 3304 <_IO_stdin_used+0x304>
    2022:	48 01 d0             	add    %rdx,%rax
    2025:	3e ff e0             	notrack jmp *%rax
    2028:	48 8d 05 84 12 00 00 	lea    0x1284(%rip),%rax        # 32b3 <_IO_stdin_used+0x2b3>
    202f:	48 89 c7             	mov    %rax,%rdi
    2032:	b8 00 00 00 00       	mov    $0x0,%eax
    2037:	e8 f4 f1 ff ff       	call   1230 <printf@plt>
    203c:	48 8d 85 b0 fe ff ff 	lea    -0x150(%rbp),%rax
    2043:	ba 10 00 00 00       	mov    $0x10,%edx
    2048:	48 89 c6             	mov    %rax,%rsi
    204b:	bf 00 00 00 00       	mov    $0x0,%edi
    2050:	e8 2b f2 ff ff       	call   1280 <read@plt>
    2055:	48 8d 05 62 12 00 00 	lea    0x1262(%rip),%rax        # 32be <_IO_stdin_used+0x2be>
    205c:	48 89 c7             	mov    %rax,%rdi
    205f:	b8 00 00 00 00       	mov    $0x0,%eax
    2064:	e8 c7 f1 ff ff       	call   1230 <printf@plt>
    2069:	48 8d 85 d0 fe ff ff 	lea    -0x130(%rbp),%rax
    2070:	ba 10 00 00 00       	mov    $0x10,%edx
    2075:	48 89 c6             	mov    %rax,%rsi
    2078:	bf 00 00 00 00       	mov    $0x0,%edi
    207d:	e8 fe f1 ff ff       	call   1280 <read@plt>
    2082:	48 8d 95 d0 fe ff ff 	lea    -0x130(%rbp),%rdx
    2089:	48 8d 8d b0 fe ff ff 	lea    -0x150(%rbp),%rcx
    2090:	8b 85 94 fe ff ff    	mov    -0x16c(%rbp),%eax
    2096:	48 89 ce             	mov    %rcx,%rsi
    2099:	89 c7                	mov    %eax,%edi
    209b:	e8 dd f4 ff ff       	call   157d <command_login>
    20a0:	e9 ab 03 00 00       	jmp    2450 <main+0x502>
    20a5:	48 8d 05 07 12 00 00 	lea    0x1207(%rip),%rax        # 32b3 <_IO_stdin_used+0x2b3>
    20ac:	48 89 c7             	mov    %rax,%rdi
    20af:	b8 00 00 00 00       	mov    $0x0,%eax
    20b4:	e8 77 f1 ff ff       	call   1230 <printf@plt>
    20b9:	48 8d 85 b0 fe ff ff 	lea    -0x150(%rbp),%rax
    20c0:	ba 10 00 00 00       	mov    $0x10,%edx
    20c5:	48 89 c6             	mov    %rax,%rsi
    20c8:	bf 00 00 00 00       	mov    $0x0,%edi
    20cd:	e8 ae f1 ff ff       	call   1280 <read@plt>
    20d2:	48 8d 05 e5 11 00 00 	lea    0x11e5(%rip),%rax        # 32be <_IO_stdin_used+0x2be>
    20d9:	48 89 c7             	mov    %rax,%rdi
    20dc:	b8 00 00 00 00       	mov    $0x0,%eax
    20e1:	e8 4a f1 ff ff       	call   1230 <printf@plt>
    20e6:	48 8d 85 d0 fe ff ff 	lea    -0x130(%rbp),%rax
    20ed:	ba 10 00 00 00       	mov    $0x10,%edx
    20f2:	48 89 c6             	mov    %rax,%rsi
    20f5:	bf 00 00 00 00       	mov    $0x0,%edi
    20fa:	e8 81 f1 ff ff       	call   1280 <read@plt>
    20ff:	48 8d 95 d0 fe ff ff 	lea    -0x130(%rbp),%rdx
    2106:	48 8d 8d b0 fe ff ff 	lea    -0x150(%rbp),%rcx
    210d:	8b 85 94 fe ff ff    	mov    -0x16c(%rbp),%eax
    2113:	48 89 ce             	mov    %rcx,%rsi
    2116:	89 c7                	mov    %eax,%edi
    2118:	e8 18 f6 ff ff       	call   1735 <command_register>
    211d:	e9 2e 03 00 00       	jmp    2450 <main+0x502>
    2122:	48 8d 05 a0 11 00 00 	lea    0x11a0(%rip),%rax        # 32c9 <_IO_stdin_used+0x2c9>
    2129:	48 89 c7             	mov    %rax,%rdi
    212c:	b8 00 00 00 00       	mov    $0x0,%eax
    2131:	e8 fa f0 ff ff       	call   1230 <printf@plt>
    2136:	48 8d 85 f0 fe ff ff 	lea    -0x110(%rbp),%rax
    213d:	ba 80 00 00 00       	mov    $0x80,%edx
    2142:	48 89 c6             	mov    %rax,%rsi
    2145:	bf 00 00 00 00       	mov    $0x0,%edi
    214a:	e8 31 f1 ff ff       	call   1280 <read@plt>
    214f:	48 8d 85 f0 fe ff ff 	lea    -0x110(%rbp),%rax
    2156:	0f b6 00             	movzbl (%rax),%eax
    2159:	84 c0                	test   %al,%al
    215b:	74 3a                	je     2197 <main+0x249>
    215d:	48 8d 85 f0 fe ff ff 	lea    -0x110(%rbp),%rax
    2164:	48 89 c7             	mov    %rax,%rdi
    2167:	e8 94 f0 ff ff       	call   1200 <strlen@plt>
    216c:	48 83 e8 01          	sub    $0x1,%rax
    2170:	0f b6 84 05 f0 fe ff 	movzbl -0x110(%rbp,%rax,1),%eax
    2177:	ff 
    2178:	3c 0a                	cmp    $0xa,%al
    217a:	75 1b                	jne    2197 <main+0x249>
    217c:	48 8d 85 f0 fe ff ff 	lea    -0x110(%rbp),%rax
    2183:	48 89 c7             	mov    %rax,%rdi
    2186:	e8 75 f0 ff ff       	call   1200 <strlen@plt>
    218b:	48 83 e8 01          	sub    $0x1,%rax
    218f:	c6 84 05 f0 fe ff ff 	movb   $0x0,-0x110(%rbp,%rax,1)
    2196:	00 
    2197:	48 8d 05 37 11 00 00 	lea    0x1137(%rip),%rax        # 32d5 <_IO_stdin_used+0x2d5>
    219e:	48 89 c7             	mov    %rax,%rdi
    21a1:	b8 00 00 00 00       	mov    $0x0,%eax
    21a6:	e8 85 f0 ff ff       	call   1230 <printf@plt>
    21ab:	b8 00 00 00 00       	mov    $0x0,%eax
    21b0:	e8 8f fc ff ff       	call   1e44 <readint>
    21b5:	48 89 85 a0 fe ff ff 	mov    %rax,-0x160(%rbp)
    21bc:	48 81 bd a0 fe ff ff 	cmpq   $0x400,-0x160(%rbp)
    21c3:	00 04 00 00 
    21c7:	76 14                	jbe    21dd <main+0x28f>
    21c9:	48 8d 05 16 11 00 00 	lea    0x1116(%rip),%rax        # 32e6 <_IO_stdin_used+0x2e6>
    21d0:	48 89 c7             	mov    %rax,%rdi
    21d3:	e8 08 f0 ff ff       	call   11e0 <puts@plt>
    21d8:	e9 73 02 00 00       	jmp    2450 <main+0x502>
    21dd:	48 8b 85 a0 fe ff ff 	mov    -0x160(%rbp),%rax
    21e4:	48 83 c0 01          	add    $0x1,%rax
    21e8:	48 89 c7             	mov    %rax,%rdi
    21eb:	e8 c0 f0 ff ff       	call   12b0 <malloc@plt>
    21f0:	48 89 85 a8 fe ff ff 	mov    %rax,-0x158(%rbp)
    21f7:	48 8d 05 f1 10 00 00 	lea    0x10f1(%rip),%rax        # 32ef <_IO_stdin_used+0x2ef>
    21fe:	48 89 c7             	mov    %rax,%rdi
    2201:	b8 00 00 00 00       	mov    $0x0,%eax
    2206:	e8 25 f0 ff ff       	call   1230 <printf@plt>
    220b:	48 8b 95 a0 fe ff ff 	mov    -0x160(%rbp),%rdx
    2212:	48 8b 85 a8 fe ff ff 	mov    -0x158(%rbp),%rax
    2219:	48 89 d6             	mov    %rdx,%rsi
    221c:	48 89 c7             	mov    %rax,%rdi
    221f:	e8 b1 fc ff ff       	call   1ed5 <readlen>
    2224:	48 8b 95 a8 fe ff ff 	mov    -0x158(%rbp),%rdx
    222b:	48 8d 8d f0 fe ff ff 	lea    -0x110(%rbp),%rcx
    2232:	8b 85 94 fe ff ff    	mov    -0x16c(%rbp),%eax
    2238:	48 89 ce             	mov    %rcx,%rsi
    223b:	89 c7                	mov    %eax,%edi
    223d:	e8 88 f6 ff ff       	call   18ca <command_newnote>
    2242:	e9 09 02 00 00       	jmp    2450 <main+0x502>
    2247:	48 8d 05 7b 10 00 00 	lea    0x107b(%rip),%rax        # 32c9 <_IO_stdin_used+0x2c9>
    224e:	48 89 c7             	mov    %rax,%rdi
    2251:	b8 00 00 00 00       	mov    $0x0,%eax
    2256:	e8 d5 ef ff ff       	call   1230 <printf@plt>
    225b:	48 8d 85 f0 fe ff ff 	lea    -0x110(%rbp),%rax
    2262:	ba 80 00 00 00       	mov    $0x80,%edx
    2267:	48 89 c6             	mov    %rax,%rsi
    226a:	bf 00 00 00 00       	mov    $0x0,%edi
    226f:	e8 0c f0 ff ff       	call   1280 <read@plt>
    2274:	48 8d 85 f0 fe ff ff 	lea    -0x110(%rbp),%rax
    227b:	0f b6 00             	movzbl (%rax),%eax
    227e:	84 c0                	test   %al,%al
    2280:	74 3a                	je     22bc <main+0x36e>
    2282:	48 8d 85 f0 fe ff ff 	lea    -0x110(%rbp),%rax
    2289:	48 89 c7             	mov    %rax,%rdi
    228c:	e8 6f ef ff ff       	call   1200 <strlen@plt>
    2291:	48 83 e8 01          	sub    $0x1,%rax
    2295:	0f b6 84 05 f0 fe ff 	movzbl -0x110(%rbp,%rax,1),%eax
    229c:	ff 
    229d:	3c 0a                	cmp    $0xa,%al
    229f:	75 1b                	jne    22bc <main+0x36e>
    22a1:	48 8d 85 f0 fe ff ff 	lea    -0x110(%rbp),%rax
    22a8:	48 89 c7             	mov    %rax,%rdi
    22ab:	e8 50 ef ff ff       	call   1200 <strlen@plt>
    22b0:	48 83 e8 01          	sub    $0x1,%rax
    22b4:	c6 84 05 f0 fe ff ff 	movb   $0x0,-0x110(%rbp,%rax,1)
    22bb:	00 
    22bc:	48 8d 05 36 10 00 00 	lea    0x1036(%rip),%rax        # 32f9 <_IO_stdin_used+0x2f9>
    22c3:	48 89 c7             	mov    %rax,%rdi
    22c6:	b8 00 00 00 00       	mov    $0x0,%eax
    22cb:	e8 60 ef ff ff       	call   1230 <printf@plt>
    22d0:	b8 00 00 00 00       	mov    $0x0,%eax
    22d5:	e8 6a fb ff ff       	call   1e44 <readint>
    22da:	48 89 85 98 fe ff ff 	mov    %rax,-0x168(%rbp)
    22e1:	48 8d 05 ed 0f 00 00 	lea    0xfed(%rip),%rax        # 32d5 <_IO_stdin_used+0x2d5>
    22e8:	48 89 c7             	mov    %rax,%rdi
    22eb:	b8 00 00 00 00       	mov    $0x0,%eax
    22f0:	e8 3b ef ff ff       	call   1230 <printf@plt>
    22f5:	b8 00 00 00 00       	mov    $0x0,%eax
    22fa:	e8 45 fb ff ff       	call   1e44 <readint>
    22ff:	48 89 85 a0 fe ff ff 	mov    %rax,-0x160(%rbp)
    2306:	48 81 bd a0 fe ff ff 	cmpq   $0x400,-0x160(%rbp)
    230d:	00 04 00 00 
    2311:	76 14                	jbe    2327 <main+0x3d9>
    2313:	48 8d 05 cc 0f 00 00 	lea    0xfcc(%rip),%rax        # 32e6 <_IO_stdin_used+0x2e6>
    231a:	48 89 c7             	mov    %rax,%rdi
    231d:	e8 be ee ff ff       	call   11e0 <puts@plt>
    2322:	e9 29 01 00 00       	jmp    2450 <main+0x502>
    2327:	48 8b 85 a0 fe ff ff 	mov    -0x160(%rbp),%rax
    232e:	48 83 c0 01          	add    $0x1,%rax
    2332:	48 89 c7             	mov    %rax,%rdi
    2335:	e8 76 ef ff ff       	call   12b0 <malloc@plt>
    233a:	48 89 85 a8 fe ff ff 	mov    %rax,-0x158(%rbp)
    2341:	48 8d 05 a7 0f 00 00 	lea    0xfa7(%rip),%rax        # 32ef <_IO_stdin_used+0x2ef>
    2348:	48 89 c7             	mov    %rax,%rdi
    234b:	b8 00 00 00 00       	mov    $0x0,%eax
    2350:	e8 db ee ff ff       	call   1230 <printf@plt>
    2355:	48 8b 95 a0 fe ff ff 	mov    -0x160(%rbp),%rdx
    235c:	48 8b 85 a8 fe ff ff 	mov    -0x158(%rbp),%rax
    2363:	48 89 d6             	mov    %rdx,%rsi
    2366:	48 89 c7             	mov    %rax,%rdi
    2369:	e8 67 fb ff ff       	call   1ed5 <readlen>
    236e:	48 8b 8d a8 fe ff ff 	mov    -0x158(%rbp),%rcx
    2375:	48 8b 95 98 fe ff ff 	mov    -0x168(%rbp),%rdx
    237c:	48 8d b5 f0 fe ff ff 	lea    -0x110(%rbp),%rsi
    2383:	8b 85 94 fe ff ff    	mov    -0x16c(%rbp),%eax
    2389:	89 c7                	mov    %eax,%edi
    238b:	e8 f4 f8 ff ff       	call   1c84 <command_editnote>
    2390:	e9 bb 00 00 00       	jmp    2450 <main+0x502>
    2395:	48 8d 05 2d 0f 00 00 	lea    0xf2d(%rip),%rax        # 32c9 <_IO_stdin_used+0x2c9>
    239c:	48 89 c7             	mov    %rax,%rdi
    239f:	b8 00 00 00 00       	mov    $0x0,%eax
    23a4:	e8 87 ee ff ff       	call   1230 <printf@plt>
    23a9:	48 8d 85 f0 fe ff ff 	lea    -0x110(%rbp),%rax
    23b0:	ba 80 00 00 00       	mov    $0x80,%edx
    23b5:	48 89 c6             	mov    %rax,%rsi
    23b8:	bf 00 00 00 00       	mov    $0x0,%edi
    23bd:	e8 be ee ff ff       	call   1280 <read@plt>
    23c2:	48 8d 85 f0 fe ff ff 	lea    -0x110(%rbp),%rax
    23c9:	0f b6 00             	movzbl (%rax),%eax
    23cc:	84 c0                	test   %al,%al
    23ce:	74 3a                	je     240a <main+0x4bc>
    23d0:	48 8d 85 f0 fe ff ff 	lea    -0x110(%rbp),%rax
    23d7:	48 89 c7             	mov    %rax,%rdi
    23da:	e8 21 ee ff ff       	call   1200 <strlen@plt>
    23df:	48 83 e8 01          	sub    $0x1,%rax
    23e3:	0f b6 84 05 f0 fe ff 	movzbl -0x110(%rbp,%rax,1),%eax
    23ea:	ff 
    23eb:	3c 0a                	cmp    $0xa,%al
    23ed:	75 1b                	jne    240a <main+0x4bc>
    23ef:	48 8d 85 f0 fe ff ff 	lea    -0x110(%rbp),%rax
    23f6:	48 89 c7             	mov    %rax,%rdi
    23f9:	e8 02 ee ff ff       	call   1200 <strlen@plt>
    23fe:	48 83 e8 01          	sub    $0x1,%rax
    2402:	c6 84 05 f0 fe ff ff 	movb   $0x0,-0x110(%rbp,%rax,1)
    2409:	00 
    240a:	48 8d 05 e8 0e 00 00 	lea    0xee8(%rip),%rax        # 32f9 <_IO_stdin_used+0x2f9>
    2411:	48 89 c7             	mov    %rax,%rdi
    2414:	b8 00 00 00 00       	mov    $0x0,%eax
    2419:	e8 12 ee ff ff       	call   1230 <printf@plt>
    241e:	b8 00 00 00 00       	mov    $0x0,%eax
    2423:	e8 1c fa ff ff       	call   1e44 <readint>
    2428:	48 89 85 98 fe ff ff 	mov    %rax,-0x168(%rbp)
    242f:	48 8b 95 98 fe ff ff 	mov    -0x168(%rbp),%rdx
    2436:	48 8d 8d f0 fe ff ff 	lea    -0x110(%rbp),%rcx
    243d:	8b 85 94 fe ff ff    	mov    -0x16c(%rbp),%eax
    2443:	48 89 ce             	mov    %rcx,%rsi
    2446:	89 c7                	mov    %eax,%edi
    2448:	e8 a8 f8 ff ff       	call   1cf5 <command_shownote>
    244d:	eb 01                	jmp    2450 <main+0x502>
    244f:	90                   	nop
    2450:	8b 85 94 fe ff ff    	mov    -0x16c(%rbp),%eax
    2456:	89 c7                	mov    %eax,%edi
    2458:	e8 13 ee ff ff       	call   1270 <close@plt>
    245d:	e9 50 fb ff ff       	jmp    1fb2 <main+0x64>

Disassembly of section .fini:

0000000000002464 <_fini>:
    2464:	f3 0f 1e fa          	endbr64 
    2468:	48 83 ec 08          	sub    $0x8,%rsp
    246c:	48 83 c4 08          	add    $0x8,%rsp
    2470:	c3                   	ret    
